Starting experiment with learning rate 0.01
Epoch=0001, t_cost=14.767614365, t_acc=0.8327, t_err=2509.0000, v_cost=17.555019379, v_acc=0.8220, v_err=178.0000, te_acc=0.8074, te_err=523.9999 
Epoch=0002, t_cost=5.279412270, t_acc=0.8255, t_err=2617.9996, v_cost=7.844278336, v_acc=0.8080, v_err=192.0000, te_acc=0.7912, te_err=567.9999 
Epoch=0003, t_cost=3.025281191, t_acc=0.8065, t_err=2902.0000, v_cost=5.104948521, v_acc=0.7740, v_err=226.0000, te_acc=0.7790, te_err=601.0001 
Epoch=0004, t_cost=2.120466471, t_acc=0.8108, t_err=2837.9998, v_cost=4.050342083, v_acc=0.7920, v_err=208.0000, te_acc=0.7750, te_err=612.0001 
Epoch=0005, t_cost=1.590652347, t_acc=0.8137, t_err=2795.0004, v_cost=3.462251186, v_acc=0.7680, v_err=232.0000, te_acc=0.7746, te_err=613.0000 
Epoch=0006, t_cost=1.246692657, t_acc=0.8306, t_err=2540.9997, v_cost=3.322043419, v_acc=0.7890, v_err=211.0000, te_acc=0.7772, te_err=606.0000 
Epoch=0007, t_cost=1.050022840, t_acc=0.8355, t_err=2467.9998, v_cost=3.034416199, v_acc=0.7830, v_err=217.0000, te_acc=0.7882, te_err=576.0000 
Epoch=0008, t_cost=0.908900321, t_acc=0.8401, t_err=2398.9999, v_cost=2.572419882, v_acc=0.8010, v_err=199.0000, te_acc=0.7812, te_err=595.0000 
Epoch=0009, t_cost=0.835689187, t_acc=0.8395, t_err=2407.0001, v_cost=2.626048326, v_acc=0.7930, v_err=207.0000, te_acc=0.7930, te_err=563.0000 
Epoch=0010, t_cost=0.752332270, t_acc=0.8555, t_err=2168.0000, v_cost=2.320210934, v_acc=0.8050, v_err=195.0000, te_acc=0.8191, te_err=492.0000 
Epoch=0011, t_cost=0.738574564, t_acc=0.8517, t_err=2224.9997, v_cost=2.438293934, v_acc=0.8160, v_err=184.0000, te_acc=0.8037, te_err=534.0000 
Epoch=0012, t_cost=0.651615858, t_acc=0.8591, t_err=2114.0000, v_cost=2.133200645, v_acc=0.8120, v_err=188.0000, te_acc=0.8074, te_err=523.9999 
Epoch=0013, t_cost=0.634168625, t_acc=0.8633, t_err=2051.0003, v_cost=2.189014673, v_acc=0.8140, v_err=186.0000, te_acc=0.8143, te_err=505.0001 
Epoch=0014, t_cost=0.618443489, t_acc=0.8652, t_err=2022.0003, v_cost=2.016669035, v_acc=0.8300, v_err=170.0000, te_acc=0.8169, te_err=498.0000 
Epoch=0015, t_cost=0.566274285, t_acc=0.8723, t_err=1916.0002, v_cost=1.793893576, v_acc=0.8210, v_err=179.0000, te_acc=0.8121, te_err=511.0000 
Epoch=0016, t_cost=0.558128774, t_acc=0.8777, t_err=1833.9998, v_cost=2.109636784, v_acc=0.8310, v_err=169.0000, te_acc=0.8221, te_err=484.0001 
Epoch=0017, t_cost=0.553142965, t_acc=0.8696, t_err=1956.0000, v_cost=2.025910854, v_acc=0.8230, v_err=177.0000, te_acc=0.8180, te_err=495.0001 
Epoch=0018, t_cost=0.595592320, t_acc=0.8668, t_err=1997.9998, v_cost=2.108794689, v_acc=0.8140, v_err=186.0000, te_acc=0.8165, te_err=499.0000 
Epoch=0019, t_cost=0.599030197, t_acc=0.8746, t_err=1881.0001, v_cost=1.909972906, v_acc=0.8260, v_err=174.0000, te_acc=0.8180, te_err=495.0001 
Epoch=0020, t_cost=0.497606695, t_acc=0.8864, t_err=1704.0002, v_cost=2.043745995, v_acc=0.8370, v_err=163.0000, te_acc=0.8254, te_err=475.0000 
Epoch=0021, t_cost=0.488560677, t_acc=0.8802, t_err=1796.9996, v_cost=1.675373912, v_acc=0.8350, v_err=165.0000, te_acc=0.8272, te_err=470.0000 
Epoch=0022, t_cost=0.527712703, t_acc=0.8848, t_err=1727.9997, v_cost=1.848903060, v_acc=0.8310, v_err=169.0000, te_acc=0.8287, te_err=466.0000 
Epoch=0023, t_cost=0.563327551, t_acc=0.8826, t_err=1760.9999, v_cost=1.987845063, v_acc=0.8350, v_err=165.0000, te_acc=0.8283, te_err=467.0000 
