Starting experiment with learning rate 0.01
Epoch=0037, t_cost=0.111709148, t_acc=0.9763, t_err=355.9998, v_cost=1.539303541, v_acc=0.9030, v_err=97.0000, te_acc=0.9022, te_err=266.0000 
Epoch=0038, t_cost=0.085261799, t_acc=0.9778, t_err=332.9998, v_cost=1.274389982, v_acc=0.9130, v_err=87.0000, te_acc=0.9026, te_err=265.0000 
Epoch=0039, t_cost=0.113169372, t_acc=0.9769, t_err=345.9996, v_cost=1.400314450, v_acc=0.9090, v_err=91.0000, te_acc=0.9011, te_err=268.9999 
Epoch=0040, t_cost=0.117077418, t_acc=0.9748, t_err=378.0001, v_cost=1.527433395, v_acc=0.9070, v_err=93.0000, te_acc=0.9037, te_err=262.0001 
Epoch=0041, t_cost=0.136936292, t_acc=0.9750, t_err=374.9996, v_cost=1.316350818, v_acc=0.9050, v_err=95.0000, te_acc=0.9018, te_err=267.0000 
Epoch=0042, t_cost=0.106467076, t_acc=0.9761, t_err=357.9998, v_cost=1.504931808, v_acc=0.9040, v_err=96.0000, te_acc=0.9007, te_err=269.9999 
Epoch=0043, t_cost=0.156770378, t_acc=0.9730, t_err=405.0002, v_cost=1.619706511, v_acc=0.9020, v_err=98.0000, te_acc=0.8982, te_err=277.0000 
Epoch=0044, t_cost=0.090200447, t_acc=0.9796, t_err=305.9998, v_cost=1.616554976, v_acc=0.9110, v_err=89.0000, te_acc=0.9051, te_err=258.0000 
Epoch=0045, t_cost=0.089013040, t_acc=0.9806, t_err=291.0000, v_cost=1.495216727, v_acc=0.9060, v_err=94.0000, te_acc=0.9074, te_err=252.0000 
Epoch=0046, t_cost=0.109372906, t_acc=0.9799, t_err=301.9997, v_cost=1.839294434, v_acc=0.9050, v_err=95.0000, te_acc=0.8996, te_err=273.0000 
Epoch=0047, t_cost=0.076810680, t_acc=0.9807, t_err=289.0000, v_cost=1.933906198, v_acc=0.9120, v_err=88.0000, te_acc=0.8989, te_err=275.0000 
Epoch=0048, t_cost=0.102975041, t_acc=0.9769, t_err=347.0001, v_cost=1.880169868, v_acc=0.9080, v_err=92.0000, te_acc=0.9018, te_err=267.0000 
Epoch=0049, t_cost=0.097169936, t_acc=0.9801, t_err=297.9997, v_cost=1.905141830, v_acc=0.9110, v_err=89.0000, te_acc=0.9033, te_err=263.0000 
Epoch=0050, t_cost=0.109771416, t_acc=0.9767, t_err=349.0001, v_cost=1.853215575, v_acc=0.9130, v_err=87.0000, te_acc=0.9000, te_err=272.0001 
Epoch=0051, t_cost=0.161595181, t_acc=0.9737, t_err=395.0000, v_cost=2.093146563, v_acc=0.9060, v_err=94.0000, te_acc=0.8978, te_err=278.0000 
Epoch=0052, t_cost=0.066836700, t_acc=0.9827, t_err=259.9999, v_cost=1.934717774, v_acc=0.9050, v_err=95.0000, te_acc=0.9062, te_err=255.0000 
Epoch=0053, t_cost=0.069469042, t_acc=0.9818, t_err=272.9997, v_cost=2.069414854, v_acc=0.9080, v_err=92.0000, te_acc=0.9077, te_err=251.0001 
Epoch=0054, t_cost=0.092758730, t_acc=0.9789, t_err=316.9996, v_cost=1.924747825, v_acc=0.9050, v_err=95.0000, te_acc=0.9000, te_err=272.0001 
Epoch=0055, t_cost=0.087254994, t_acc=0.9804, t_err=293.9996, v_cost=2.132115841, v_acc=0.9070, v_err=93.0000, te_acc=0.9059, te_err=256.0000 
Epoch=0056, t_cost=0.107122287, t_acc=0.9783, t_err=324.9997, v_cost=2.098150015, v_acc=0.9070, v_err=93.0000, te_acc=0.9029, te_err=264.0000 
Epoch=0057, t_cost=0.072789803, t_acc=0.9811, t_err=284.0003, v_cost=1.976037979, v_acc=0.9030, v_err=97.0000, te_acc=0.9022, te_err=266.0000 
Epoch=0058, t_cost=0.119243294, t_acc=0.9804, t_err=293.9996, v_cost=2.088570356, v_acc=0.9050, v_err=95.0000, te_acc=0.9051, te_err=258.0000 
Epoch=0059, t_cost=0.078167386, t_acc=0.9824, t_err=264.0000, v_cost=2.073145151, v_acc=0.9120, v_err=88.0000, te_acc=0.9048, te_err=258.9999 
Epoch=0060, t_cost=0.111250959, t_acc=0.9787, t_err=318.9996, v_cost=2.346053839, v_acc=0.9060, v_err=94.0000, te_acc=0.8963, te_err=282.0001 
Epoch=0061, t_cost=0.124260977, t_acc=0.9781, t_err=328.0002, v_cost=2.395936251, v_acc=0.9050, v_err=95.0000, te_acc=0.9004, te_err=271.0001 
Epoch=0062, t_cost=0.059486464, t_acc=0.9825, t_err=262.0000, v_cost=2.239429712, v_acc=0.9130, v_err=87.0000, te_acc=0.9066, te_err=254.0000 
Epoch=0063, t_cost=0.063763335, t_acc=0.9821, t_err=268.0001, v_cost=2.435594797, v_acc=0.9060, v_err=94.0000, te_acc=0.9048, te_err=258.9999 
Epoch=0064, t_cost=0.094918236, t_acc=0.9809, t_err=286.9999, v_cost=2.439199924, v_acc=0.9080, v_err=92.0000, te_acc=0.9026, te_err=265.0000 
Epoch=0065, t_cost=0.077000283, t_acc=0.9817, t_err=274.9997, v_cost=2.252599716, v_acc=0.9110, v_err=89.0000, te_acc=0.9066, te_err=254.0000 
Epoch=0066, t_cost=0.069781967, t_acc=0.9822, t_err=266.9996, v_cost=2.533930779, v_acc=0.9100, v_err=90.0000, te_acc=0.9029, te_err=264.0000 
Epoch=0067, t_cost=0.088522092, t_acc=0.9796, t_err=305.9998, v_cost=2.480523586, v_acc=0.9120, v_err=88.0000, te_acc=0.9055, te_err=257.0000 
Epoch=0068, t_cost=0.157157764, t_acc=0.9750, t_err=374.9996, v_cost=2.581527472, v_acc=0.9050, v_err=95.0000, te_acc=0.9007, te_err=269.9999 
Epoch=0069, t_cost=0.153043121, t_acc=0.9769, t_err=345.9996, v_cost=2.233964443, v_acc=0.9070, v_err=93.0000, te_acc=0.9011, te_err=268.9999 
Epoch=0070, t_cost=0.077398233, t_acc=0.9817, t_err=274.9997, v_cost=2.211540461, v_acc=0.9100, v_err=90.0000, te_acc=0.9074, te_err=252.0000 
Epoch=0071, t_cost=0.118422329, t_acc=0.9816, t_err=276.0002, v_cost=2.403225660, v_acc=0.9090, v_err=91.0000, te_acc=0.9107, te_err=243.0000 
Epoch=0072, t_cost=0.127498195, t_acc=0.9753, t_err=370.9996, v_cost=2.746440887, v_acc=0.9120, v_err=88.0000, te_acc=0.8971, te_err=279.9999 
Epoch=0073, t_cost=0.072106265, t_acc=0.9819, t_err=270.9997, v_cost=2.615546942, v_acc=0.9070, v_err=93.0000, te_acc=0.9059, te_err=256.0000 
Epoch=0074, t_cost=0.119947664, t_acc=0.9792, t_err=311.9999, v_cost=2.855200291, v_acc=0.9070, v_err=93.0000, te_acc=0.9055, te_err=257.0000 
