Starting experiment with learning rate 0.01
Epoch:0351, t_cost=1358.631103516, t_acc=0.9737, t_err=394.0004, v_cost=369.103393555, v_acc=0.9110, v_err=89.0000, te_acc=0.8963, te_err=282.0001 
Epoch:0361, t_cost=1327.767211914, t_acc=0.9741, t_err=388.9999, v_cost=361.826446533, v_acc=0.9120, v_err=88.0000, te_acc=0.8960, te_err=283.0001 
Epoch:0371, t_cost=1338.313232422, t_acc=0.9737, t_err=394.0004, v_cost=362.203857422, v_acc=0.9110, v_err=89.0000, te_acc=0.8967, te_err=280.9999 
Epoch:0381, t_cost=1361.129272461, t_acc=0.9734, t_err=399.0000, v_cost=371.525146484, v_acc=0.9110, v_err=89.0000, te_acc=0.8993, te_err=274.0000 
Epoch:0391, t_cost=1378.931640625, t_acc=0.9726, t_err=411.0003, v_cost=378.212493896, v_acc=0.9090, v_err=91.0000, te_acc=0.8978, te_err=278.0000 
Epoch:0401, t_cost=1884.317871094, t_acc=0.9645, t_err=532.0001, v_cost=547.453247070, v_acc=0.8990, v_err=101.0000, te_acc=0.8897, te_err=300.0000 
Epoch:0411, t_cost=1436.686767578, t_acc=0.9717, t_err=424.9996, v_cost=414.342803955, v_acc=0.9030, v_err=97.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0421, t_cost=1324.626831055, t_acc=0.9735, t_err=397.0000, v_cost=372.890747070, v_acc=0.9090, v_err=91.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0431, t_cost=1294.810913086, t_acc=0.9744, t_err=384.0002, v_cost=373.229949951, v_acc=0.9100, v_err=90.0000, te_acc=0.8982, te_err=277.0000 
Epoch:0441, t_cost=1283.113891602, t_acc=0.9751, t_err=372.9996, v_cost=370.331848145, v_acc=0.9110, v_err=89.0000, te_acc=0.8982, te_err=277.0000 
Epoch:0451, t_cost=1295.310180664, t_acc=0.9746, t_err=380.9997, v_cost=371.793060303, v_acc=0.9080, v_err=92.0000, te_acc=0.8978, te_err=278.0000 
Epoch:0461, t_cost=1310.343750000, t_acc=0.9745, t_err=382.0002, v_cost=375.305603027, v_acc=0.9080, v_err=92.0000, te_acc=0.8978, te_err=278.0000 
Epoch:0471, t_cost=1308.532470703, t_acc=0.9739, t_err=390.9999, v_cost=375.800415039, v_acc=0.9080, v_err=92.0000, te_acc=0.8978, te_err=278.0000 
Epoch:0481, t_cost=1322.264648438, t_acc=0.9741, t_err=388.9999, v_cost=399.343994141, v_acc=0.9030, v_err=97.0000, te_acc=0.8952, te_err=285.0000 
Epoch:0491, t_cost=1412.389160156, t_acc=0.9728, t_err=407.9998, v_cost=411.273040771, v_acc=0.9040, v_err=96.0000, te_acc=0.9000, te_err=272.0001 
Epoch:0501, t_cost=1361.668945312, t_acc=0.9739, t_err=392.0004, v_cost=404.137268066, v_acc=0.9030, v_err=97.0000, te_acc=0.8982, te_err=277.0000 
Epoch:0511, t_cost=1530.010375977, t_acc=0.9700, t_err=449.9996, v_cost=434.052429199, v_acc=0.9030, v_err=97.0000, te_acc=0.8934, te_err=290.0000 
Epoch:0521, t_cost=1280.970458984, t_acc=0.9752, t_err=372.0000, v_cost=399.277191162, v_acc=0.9040, v_err=96.0000, te_acc=0.8974, te_err=279.0000 
Epoch:0531, t_cost=1274.622070312, t_acc=0.9751, t_err=372.9996, v_cost=392.248718262, v_acc=0.9060, v_err=94.0000, te_acc=0.8967, te_err=280.9999 
Epoch:0541, t_cost=1230.061401367, t_acc=0.9760, t_err=359.9998, v_cost=386.384826660, v_acc=0.9080, v_err=92.0000, te_acc=0.8974, te_err=279.0000 
Epoch:0551, t_cost=1243.664062500, t_acc=0.9751, t_err=372.9996, v_cost=388.989746094, v_acc=0.9100, v_err=90.0000, te_acc=0.8974, te_err=279.0000 
Epoch:0561, t_cost=1223.983886719, t_acc=0.9763, t_err=355.0002, v_cost=388.960968018, v_acc=0.9100, v_err=90.0000, te_acc=0.8971, te_err=279.9999 
Epoch:0571, t_cost=1212.724121094, t_acc=0.9763, t_err=355.0002, v_cost=390.088562012, v_acc=0.9090, v_err=91.0000, te_acc=0.8974, te_err=279.0000 
Epoch:0581, t_cost=1212.459228516, t_acc=0.9758, t_err=363.0003, v_cost=389.198944092, v_acc=0.9100, v_err=90.0000, te_acc=0.8974, te_err=279.0000 
